keys,en,uk
KEY_NAME,English,Українська
KEY_PLAY,Play,Грати
KEY_SETTINGS,Options,Налаштування
KEY_LANGUAGE,Language,Мова
KEY_BACK,Back,Назад
KEY_QUIT,Quit,Вихід
KEY_TITLE,Hunters Rite,Hunters Rite
KEY_SINGLE_MODE,Single,Один гравець
KEY_COOPERATIVE_MODE,Cooperative,Два гравці
KEY_AUTHORS,Authors,Розробники
KEY_RETRY,Retry,Заново
KEY_GAME_OVER,GameOver,Кінець гри
KEY_MENU,Menu,Меню
KEY_MODE,Mode:,Режим гри:
KEY_EFFECTS,Effects,Ефекти
KEY_MUSIC,Music,Музика
KEY_FULLSCREEN,Fullscreen,Весь екран
KEY_RESUME,Resume,Відновити
KEY_ITEMS,Items,Предмети
